Date,Open,High,Low,Close,Volume,Adj. Close*
17-Mar-06,11294.94,11294.94,11253.23,11279.65,2549619968,11279.65
16-Mar-06,11210.97,11324.80,11176.07,11253.24,2292179968,11253.24
15-Mar-06,11149.76,11258.28,11097.23,11209.77,2292999936,11209.77
14-Mar-06,11076.02,11190.96,11030.23,11151.34,2165270016,11151.34
13-Mar-06,11067.61,11157.82,11019.75,11076.02,2070329984,11076.02
10-Mar-06,10972.92,11125.41,10948.43,11076.34,2123449984,11076.34
9-Mar-06,11005.66,11093.39,10923.86,10972.28,2140109952,10972.28
8-Mar-06,10977.08,11065.61,10885.99,11005.74,2442870016,11005.74
7-Mar-06,10957.31,11032.31,10885.35,10980.69,2268049920,10980.69
6-Mar-06,11022.47,11084.66,10899.76,10958.59,2280189952,10958.59
3-Mar-06,11024.23,11125.01,10942.99,11021.59,2152950016,11021.59
2-Mar-06,11052.57,11090.91,10951.71,11025.51,2494589952,11025.51
1-Mar-06,10993.25,11115.80,10960.60,11053.53,2308320000,11053.53
28-Feb-06,11096.75,11115.24,10947.07,10993.41,2370860032,10993.41
27-Feb-06,11062.81,11180.48,11038.72,11097.55,1975320064,11097.55
24-Feb-06,11068.33,11085.38,11010.46,11061.85,1933010048,11061.85
23-Feb-06,11133.52,11167.83,11017.27,11069.22,2144210048,11069.22
22-Feb-06,11086.98,11159.02,11064.25,11137.17,2222380032,11137.17
21-Feb-06,11115.48,11182.68,11011.18,11069.06,2104320000,11069.06
17-Feb-06,11119.56,11178.80,11035.44,11115.32,2128259968,11115.32
16-Feb-06,11059.05,11154.14,10997.66,11120.68,2251490048,11120.68
15-Feb-06,11025.67,11115.56,10940.18,11058.97,2317590016,11058.97
14-Feb-06,10890.72,11071.54,10873.62,11028.39,2437939968,11028.39
13-Feb-06,10915.21,10982.93,10824.60,10892.32,1850080000,10892.32
10-Feb-06,10883.51,10972.76,10787.62,10919.05,2290050048,10919.05
9-Feb-06,10859.42,11003.50,10800.91,10883.35,2441920000,10883.35
8-Feb-06,10742.16,10897.44,10712.30,10858.62,2456859904,10858.62
7-Feb-06,10796.42,10874.79,10691.97,10749.76,2366370048,10749.76
6-Feb-06,10793.30,10868.62,10725.91,10798.27,2132359936,10798.27
3-Feb-06,10849.57,10905.28,10725.35,10793.62,2282210048,10793.62
2-Feb-06,10950.11,10987.73,10800.35,10851.98,2565299968,10851.98
1-Feb-06,10862.14,11001.82,10815.39,10953.95,2589410048,10953.95
31-Jan-06,10900.40,10970.28,10807.55,10864.86,2708310016,10864.86
30-Jan-06,10913.13,10930.34,10887.67,10899.92,4480000,10899.92
27-Jan-06,10815.32,10988.29,10766.01,10907.21,2623620096,10907.21
26-Jan-06,10768.17,10827.96,10709.73,10809.47,2856780032,10809.47
25-Jan-06,10713.26,10832.93,10615.20,10709.74,2617060096,10709.74
24-Jan-06,10690.21,10804.75,10624.49,10712.22,2608719872,10712.22
23-Jan-06,10668.75,10783.70,10607.36,10688.77,2256069888,10688.77
20-Jan-06,10880.71,10890.08,10637.21,10667.39,2845809920,10667.39
19-Jan-06,10855.18,10965.00,10796.66,10880.71,2444019968,10880.71
18-Jan-06,10890.08,10934.90,10778.33,10854.86,2233200128,10854.86
17-Jan-06,10957.55,10977.01,10841.17,10896.32,2179970048,10896.32
13-Jan-06,10961.48,11033.04,10888.88,10959.87,2206510080,10959.87
12-Jan-06,11043.12,11070.10,10918.09,10962.36,2318350080,10962.36
11-Jan-06,11022.15,11047.44,10992.29,11043.44,2406129920,11043.44
10-Jan-06,11010.46,11054.49,10902.96,11011.58,2373080064,11011.58
9-Jan-06,10959.47,11053.93,10906.33,11011.90,2301489920,11011.90
6-Jan-06,10875.45,11005.98,10846.21,10959.31,2446560000,10959.31
5-Jan-06,10880.39,10951.39,10797.55,10882.15,2433339904,10882.15
